Occupation Code,Occupation Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-1011,Chief Executives,3.75,4.0,4.1899999999999995,4.0,4.25,1.0,1.12,1.0,3.315,4.3149999999999995,3.25,3.565,3.125,3.685,3.065,3.875,3.62,1.94,3.0,2.0,3.94,1.815,1.88,4.0600000000000005,1.0,1.87,3.185,4.0,4.125,4.0,4.0649999999999995,1.815,3.69,1.25,4.12
11-1021,General and Operations Managers,3.62,4.0,3.62,3.88,3.88,1.0,1.0,1.0,3.0,3.62,3.0,3.0,3.12,3.75,2.62,4.0,3.5,1.88,2.5,2.25,3.62,1.5,2.38,4.0,1.0,1.5,3.25,3.75,4.0,3.12,3.12,1.5,3.62,1.75,3.5
11-2011,Advertising and Promotions Managers,3.25,4.12,3.5,3.5,4.0,1.0,1.12,1.0,2.88,3.75,3.0,2.75,2.62,3.12,3.0,3.25,3.12,1.0,2.75,1.62,3.38,1.75,1.62,3.75,1.0,1.62,3.12,4.0,4.0,3.12,3.12,1.75,3.5,1.0,3.75
11-2021,Marketing Managers,3.88,3.88,3.62,3.5,3.88,1.0,1.0,1.0,3.0,3.75,3.12,2.88,2.62,3.38,2.75,3.75,3.62,1.0,3.38,1.75,3.75,1.88,1.88,3.88,1.0,1.75,3.12,3.88,3.88,3.25,3.5,1.75,3.5,1.0,3.25
11-2022,Sales Managers,3.75,4.0,3.75,3.75,3.88,1.0,1.0,1.0,3.75,3.88,3.12,3.0,2.75,3.88,3.0,3.88,4.0,1.75,2.62,1.75,3.88,1.62,1.75,3.88,1.0,1.62,3.62,3.88,4.0,3.62,3.62,1.5,3.75,1.0,3.62
11-2033,Fundraising Managers,3.38,4.0,3.62,3.75,4.12,1.0,1.0,1.0,2.62,3.75,2.62,3.25,2.62,3.12,3.0,3.12,3.38,1.12,2.0,1.75,4.0,1.88,1.25,3.88,1.0,1.25,3.38,4.0,4.12,3.12,3.0,1.75,3.5,1.0,3.88
11-3012,Administrative Services Managers,3.12,4.0,3.25,3.75,3.75,1.0,1.12,1.0,3.0,3.25,3.0,2.88,2.88,3.38,2.25,3.38,3.62,1.62,2.75,2.25,3.0,1.38,2.25,4.0,1.0,1.0,3.25,3.25,3.88,3.12,2.75,1.5,4.0,1.88,3.75
11-3013,Facilities Managers,3.37,3.935,3.69,3.75,4.0,2.065,2.125,1.06,3.315,3.81,3.19,3.06,3.0,3.625,2.625,3.875,3.19,2.125,2.065,2.565,3.25,1.62,2.69,3.935,2.0,1.44,3.19,3.81,3.94,3.125,3.19,1.62,3.44,2.31,3.5
11-3021,Computer and Information Systems Managers,3.38,4.0,3.75,3.75,4.12,1.38,1.88,1.0,3.12,3.88,3.25,3.0,2.75,3.62,3.12,3.88,3.0,2.0,3.12,2.88,3.12,2.75,2.75,4.0,1.5,1.75,2.88,3.62,3.88,3.62,3.62,2.5,3.38,2.5,3.75
11-3031,Financial Managers,3.6233333333333335,3.9599999999999995,3.83,3.3733333333333335,4.04,1.0,1.0833333333333333,1.0,2.92,3.8733333333333335,2.9599999999999995,3.2900000000000005,2.46,3.206666666666667,3.543333333333333,3.7099999999999995,3.08,1.08,2.1233333333333335,1.88,3.1666666666666665,1.75,1.7533333333333332,4.04,1.0,1.1666666666666667,3.0833333333333335,3.2466666666666666,3.9599999999999995,3.2099999999999995,3.2900000000000005,1.7066666666666668,3.4166666666666665,1.0833333333333333,3.6633333333333336
